F,E,base,height,length,coord0,coord1,coord2,coord3,coord4,coord5,coord6,coord7,coord8,coord9,coord10,time
100.0,100000000000.0,0.01,0.01,0.2,"(0.0, 0.0)","(0.010262765934759574, -1.242081741366727e-05)","(0.021113379747668682, -5.160270268496244e-05)","(0.032666109973537506, -0.00012105947986194649)","(0.04507790694943278, -0.0002254902429553094)","(0.05857473866440265, -0.0003714768251174815)","(0.07350343339964562, -0.0005688382312008112)","(0.0904478547210387, -0.0008336235081629847)","(0.11054648598666879, -0.0011961738404930458)","(0.1367386391739997, -0.0017322530383554104)","(0.19996929347409415, -0.0031991578087874136)",0.01586970000062138
100.0,100000000000.0,0.01,0.01,0.36,"(0.0, 0.0)","(0.01846319089670842, -7.22562451807704e-05)","(0.03798394412154168, -0.00030019813615179785)","(0.05876688969757456, -0.0007042758015345092)","(0.08109323276031517, -0.001311831895744332)","(0.10536802137699361, -0.0021611584975228565)","(0.13221320240043524, -0.003309375484092078)","(0.16267616963848958, -0.004849839614350055)","(0.19879991420352983, -0.006959041363303885)","(0.2458604976214727, -0.010077692322111807)","(0.3594221830106545, -0.018611078865597718)",0.006198100047186017
100.0,100000000000.0,0.01,0.01,0.52,"(0.0, 0.0)","(0.026617389090146278, -0.0002157686316517405)","(0.05475941033280489, -0.0008965173533630038)","(0.08471612055271395, -0.0021034120717831712)","(0.11688686150559159, -0.003918173162278003)","(0.15184781849420087, -0.006455184594259238)","(0.19048506574809182, -0.009885011444821382)","(0.234292829119048, -0.014486371023773623)","(0.28618915801319367, -0.020786142200978)","(0.3537179121651098, -0.03010002719390838)","(0.5164213853840562, -0.05558125072451439)",0.006368699949234724
100.0,100000000000.0,0.01,0.01,0.6799999999999999,"(0.0, 0.0)","(0.034644770345703034, -0.00047197256121997807)","(0.07127413342375458, -0.0019614548501177592)","(0.11025035757415656, -0.0046027676182427745)","(0.1520745178611533, -0.008575056622773906)","(0.19747262238151703, -0.014128755839626132)","(0.24756535806951394, -0.021636992259013756)","(0.3042489209976914, -0.03170920352536222)","(0.3712372719659478, -0.04549726547173169)","(0.4581567142564963, -0.06587778615657401)","(0.6668033086247964, -0.1216167213569608)",0.006376500008627772
100.0,100000000000.0,0.01,0.01,0.8399999999999999,"(0.0, 0.0)","(0.04242013066819135, -0.0008537019506928968)","(0.08727129579923087, -0.0035492734560884274)","(0.1349630979989155, -0.008331507096236658)","(0.18606738611712204, -0.015525881948962098)","(0.24141967678403276, -0.025586376918323397)","(0.30231935209943334, -0.03918837732588506)","(0.3709794772794473, -0.057434077548018256)","(0.4517596499947786, -0.08240603969090766)","(0.5560164698653424, -0.11930552701385548)","(0.8045220257650217, -0.22016863098967443)",0.005377199966460466
100.0,100000000000.0,0.01,0.012,0.2,"(0.0, 0.0)","(0.010263147964970682, -7.18924343988458e-06)","(0.0211141658475368, -2.9867903175628362e-05)","(0.03266736336426296, -7.006973887509393e-05)","(0.04507974188746131, -0.00013051456986582456)","(0.05857733563859161, -0.00021501197817598428)","(0.0735070645262011, -0.0003292452681159287)","(0.0904529312934991, -0.0004825037681724669)","(0.11055366472454009, -0.0006923492428554651)","(0.13674915137141405, -0.0010026344737966155)","(0.19998971344593244, -0.0018516885761332986)",0.004569799988530576
100.0,100000000000.0,0.01,0.012,0.36,"(0.0, 0.0)","(0.018470380407846248, -4.1892277116204764e-05)","(0.037998737168421406, -0.0001740439697409914)","(0.058790473704139444, -0.0004083076994883904)","(0.08112775369223116, -0.000760533301438004)","(0.10541686926712796, -0.00125292013004598)","(0.13228148844649015, -0.0019185850881310793)","(0.16277161950333238, -0.002811656589997531)","(0.19893486403348687, -0.004034465472641146)","(0.2460580775188556, -0.005842538769279317)","(0.359805899330944, -0.010790019549726058)",0.005878900061361492
100.0,100000000000.0,0.01,0.012,0.52,"(0.0, 0.0)","(0.02666193130384226, -0.0001258589208845103)","(0.05485104316615942, -0.0005229038169132492)","(0.08486214760267224, -0.001226763466159827)","(0.11710048198388015, -0.002285070066647405)","(0.1521498854961357, -0.003764525258260297)","(0.19090702368717152, -0.005764622283074265)","(0.23488221308028137, -0.008447968567302457)","(0.2870218810655837, -0.01212196983708613)","(0.35493632998122693, -0.017554247537684777)","(0.5187857749326927, -0.032417965579983096)",0.005828899913467467
100.0,100000000000.0,0.01,0.012,0.6799999999999999,"(0.0, 0.0)","(0.03480914749566659, -0.00027929752565810626)","(0.0716121468707782, -0.001160476840694828)","(0.11078849365940108, -0.002722709568656344)","(0.15286064018819095, -0.005071774599868362)","(0.19858236622149295, -0.008355732692387197)","(0.24911280864224855, -0.012795368541859548)","(0.30640659996937697, -0.018751464289021993)","(0.3742807883441582, -0.026906032908705343)","(0.46260308422887525, -0.038962170345469116)","(0.6754151018532237, -0.07194586438886007)",0.0047126999124884605
100.0,100000000000.0,0.01,0.012,0.8399999999999999,"(0.0, 0.0)","(0.0428625185548864, -0.000518602828994734)","(0.08818028352878796, -0.0021550950727326932)","(0.13640765894757767, -0.005056876752865039)","(0.1881721314085321, -0.009420648931424178)","(0.24438159586818892, -0.01552149951083527)","(0.3064357490508429, -0.023769398973489096)","(0.37670023699070404, -0.03483406373811382)","(0.45980397839363185, -0.049981368494328056)","(0.5677345097058775, -0.07237255113393015)","(0.8271350344946496, -0.13361699805704927)",0.00534849998075515
