F,E,base,height,length,coord0,coord1,coord2,coord3,coord4,coord5,coord6,coord7,coord8,coord9,coord10,time
100.0,100000000000.0,0.01,0.01,0.2,"(0.0, 0.0)","(9.978468983387612e-09, -1.242081741366727e-05)","(8.33249234818978e-08, -5.160270268496244e-05)","(2.948871498584249e-07, -0.00012105947986194649)","(7.371887486840034e-07, -0.0002254902429553094)","(1.529925835352941e-06, -0.0003714768251174815)","(2.8380370094005514e-06, -0.0005688382312008112)","(4.9108367331518465e-06, -0.0008336235081629847)","(8.185339132951719e-06, -0.0011961738404930458)","(1.3677073319534605e-05, -0.0017322530383554104)","(3.0706526052054484e-05, -0.0031991578087874136)",0.009745099931024015
100.0,100000000000.0,0.01,0.01,0.36,"(0.0, 0.0)","(1.8770205274451501e-07, -7.22562451807704e-05)","(1.567454556983261e-06, -0.00030019813615179785)","(5.5474184176909636e-06, -0.0007042758015345092)","(1.3868483177831292e-05, -0.001311831895744332)","(2.878299817737906e-05, -0.0021611584975228565)","(5.3394849031163094e-05, -0.003309375484092078)","(9.23959343146763e-05, -0.004849839614350055)","(0.00015401065366890676, -0.006959041363303885)","(0.00025735069898991103, -0.010077692322111807)","(0.0005778169890944818, -0.018611078865597718)",0.0053038999903947115
100.0,100000000000.0,0.01,0.01,0.52,"(0.0, 0.0)","(1.1609815418478497e-06, -0.0002157686316517405)","(9.696294140368322e-06, -0.0008965173533630038)","(3.4320749457472655e-05, -0.0021034120717831712)","(8.58124756576567e-05, -0.003918173162278003)","(0.00017812050667911916, -0.006455184594259238)","(0.0003304720701594044, -0.009885011444821382)","(0.0005719358765959026, -0.014486371023773623)","(0.0009534696708434209, -0.020786142200978)","(0.001593486200630434, -0.03010002719390838)","(0.003578614615904585, -0.05558125072451439)",0.006210000021383166
100.0,100000000000.0,0.01,0.01,0.6799999999999999,"(0.0, 0.0)","(4.267603254108632e-06, -0.00047197256121997807)","(3.565296648314065e-05, -0.0019614548501177592)","(0.000126234878721751, -0.0046027676182427745)","(0.0003157240477438539, -0.008575056622773906)","(0.0006555535941790425, -0.014128755839626132)","(0.001216660170689221, -0.021636992259013756)","(0.0021063309771430228, -0.03170920352536222)","(0.00351267477521916, -0.04549726547173169)","(0.005872795536491782, -0.06587778615657401)","(0.013196691375377823, -0.1216167213569608)",0.0060181999579072
100.0,100000000000.0,0.01,0.01,0.8399999999999999,"(0.0, 0.0)","(1.1401995121874953e-05, -0.0008537019506928968)","(9.530989134597101e-05, -0.0035492734560884274)","(0.0003376536661275631, -0.008331507096236658)","(0.0008449962621656648, -0.015525881948962098)","(0.001755564594841219, -0.025586376918323397)","(0.003260225504527814, -0.03918837732588506)","(0.005647884881567422, -0.057434077548018256)","(0.009425287599826193, -0.08240603969090766)","(0.015769919649057718, -0.11930552701385548)","(0.035477974235116116, -0.22016863098967443)",0.006230499944649637
100.0,100000000000.0,0.01,0.012,0.2,"(0.0, 0.0)","(3.3428276032670956e-09, -7.18924343988458e-06)","(2.7914120070970938e-08, -2.9867903175628362e-05)","(9.878791289164024e-08, -7.006973887509393e-05)","(2.469594184290047e-07, -0.00013051456986582456)","(5.125263449409778e-07, -0.00021501197817598428)","(9.507422005644584e-07, -0.0003292452681159287)","(1.645125697058436e-06, -0.0004825037681724669)","(2.7420735259769957e-06, -0.0006923492428554651)","(4.581780983670125e-06, -0.0010026344737966155)","(1.0286554044336427e-05, -0.0018516885761332986)",0.00459160003811121
100.0,100000000000.0,0.01,0.012,0.36,"(0.0, 0.0)","(6.306948495751752e-08, -4.1892277116204764e-05)","(5.266647587626183e-07, -0.0001740439697409914)","(1.8638852668229067e-06, -0.0004083076994883904)","(4.659572318765903e-06, -0.000760533301438004)","(9.670341673692628e-06, -0.00125292013004598)","(1.7938810736056743e-05, -0.0019185850881310793)","(3.1040974496687745e-05, -0.002811656589997531)","(5.173934918048517e-05, -0.004034465472641146)","(8.645343488153379e-05, -0.005842538769279317)","(0.00019410066943492676, -0.010790019549726058)",0.0054311000276356936
100.0,100000000000.0,0.01,0.012,0.52,"(0.0, 0.0)","(3.9436640123652333e-07, -0.0001258589208845103)","(3.2933156793105156e-06, -0.0005229038169132492)","(1.1655660969389636e-05, -0.001226763466159827)","(2.9139534118996502e-05, -0.002285070066647405)","(6.047800129152514e-05, -0.003764525258260297)","(0.00011219374967769147, -0.005764622283074265)","(0.00019414681425691804, -0.008447968567302457)","(0.0003236209426975556, -0.01212196983708613)","(0.0005407796651294428, -0.017554247537684777)","(0.0012142250668155663, -0.032417965579983096)",0.00617229996714741
100.0,100000000000.0,0.01,0.012,0.6799999999999999,"(0.0, 0.0)","(1.4874940251624613e-06, -0.00027929752565810626)","(1.2423222107121878e-05, -0.001160476840694828)","(4.397276455704591e-05, -0.002722709568656344)","(0.00010994512075010454, -0.005071774599868362)","(0.0002282117230323899, -0.008355732692387197)","(0.0004234062431692498, -0.012795368541859548)","(0.0007327709786497105, -0.018751464289021993)","(0.0012215919369080175, -0.026906032908705343)","(0.002041577136163153, -0.038962170345469116)","(0.004584898147901861, -0.07194586438886007)",0.005845200037583709
100.0,100000000000.0,0.01,0.012,0.8399999999999999,"(0.0, 0.0)","(4.164748666317386e-06, -0.000518602828994734)","(3.479023102138934e-05, -0.0021550950727326932)","(0.00012316783936086595, -0.005056876752865039)","(0.0003080216447068629, -0.009420648931424178)","(0.0006394940642816815, -0.01552149951083527)","(0.0011867280371658517, -0.023769398973489096)","(0.0020542842432538233, -0.03483406373811382)","(0.003425479858851166, -0.049981368494328056)","(0.005726288252557832, -0.07237255113393015)","(0.012864965505246517, -0.13361699805704927)",0.009249199996702373
