alpha,coord0,coord1,coord2,coord3,coord4,coord5,coord6,coord7,coord8,coord9,coord10,time
4.608011,"(0.0, 0.0)","(0.00011613698233359226, -0.0024512320879907573)","(0.0009877463263011504, -0.010324449911340919)","(0.003567460635847966, -0.02455446405793844)","(0.009125130859583275, -0.046381025947489544)","(0.019443400716198933, -0.07755402339413232)","(0.03720316135505064, -0.12074055104733411)","(0.06684149167730219, -0.18043889252638648)","(0.1168528739024578, -0.2654602601633542)","(0.20846600151700484, -0.39846070049489724)","(0.5371191964041546, -0.801737707083433)",0.009190600016154349
4.992010875,"(0.0, 0.0)","(0.00011596571407668926, -0.0024154990692238166)","(0.000986983164075167, -0.010179561380003975)","(0.003567714241040465, -0.024224959326850603)","(0.009135263135816973, -0.04579218413833763)","(0.01949061746703712, -0.07663873220971253)","(0.03735798490180367, -0.11945618332275587)","(0.06727946619208913, -0.17881132733247015)","(0.1180318259741896, -0.2637148176552512)","(0.21179942263223978, -0.39752976349580843)","(0.5546508903409797, -0.8104404433177672)",0.008979200007161126
5.376010750000001,"(0.0, 0.0)","(0.00011544755425544478, -0.0023781230614103067)","(0.0009831806297555673, -0.010026924500611756)","(0.003556620735655047, -0.023874905016069665)","(0.009115269552045169, -0.045160067977551954)","(0.01947088078167708, -0.07564251344394214)","(0.037378440260883605, -0.11803001307027698)","(0.06746283993110724, -0.17694321800513396)","(0.11874034830417324, -0.261564848227492)","(0.21426071688222237, -0.39591394941932173)","(0.5703951967509333, -0.8180471313904002)",0.009774800011655316
5.7600106250000005,"(0.0, 0.0)","(0.00011467318137353688, -0.0023399772739901635)","(0.0009771183056514199, -0.009870329488755967)","(0.0035370260276943177, -0.023513577519589806)","(0.009072503038060092, -0.044502684890831735)","(0.019399986532742025, -0.07459625305501853)","(0.037294864092265206, -0.11651118090397419)","(0.067445759984603, -0.1749089538204449)","(0.11907016989393227, -0.25911866439943854)","(0.2159981863418225, -0.3937634097384172)","(0.5846267143541124, -0.824768971996183)",0.012857099995017052
6.1440105,"(0.0, 0.0)","(0.00011371103761980209, -0.002301670155612669)","(0.0009693870388250841, -0.009712439493608102)","(0.0035110976655882697, -0.02314755276677074)","(0.009012597361025526, -0.04383292543696081)","(0.019290127131455476, -0.07352230934008645)","(0.03713089195816777, -0.11493573407041183)","(0.0672709208494397, -0.1727639880923735)","(0.11909472383277292, -0.2564585855253394)","(0.21713244312247865, -0.39119441646206493)","(0.5975661764989103, -0.8307654837428785)",0.010719699988840148
6.528010375,"(0.0, 0.0)","(0.00011261307620127545, -0.002263624910443024)","(0.0009604371609964399, -0.009555124991608608)","(0.0034804957521028246, -0.022781496727286087)","(0.00893989293647357, -0.043160038384431956)","(0.019150765302572204, -0.07243692761895541)","(0.03690504065754499, -0.1133302563386496)","(0.06697218268307234, -0.17054996281655652)","(0.11887319220446713, -0.25364782134595587)","(0.21776249928391173, -0.3882984057184236)","(0.6093929270909446, -0.836159314059629)",0.010315599996829405
6.91201025,"(0.0, 0.0)","(0.00011141891934648637, -0.0022261337002185367)","(0.0009506135212603156, -0.009399692688140632)","(0.0034464977241452505, -0.022418708949195003)","(0.008857749470969817, -0.04249064978714281)","(0.018989279844421142, -0.07135191686686411)","(0.0366318861354806, -0.11171440100233292)","(0.06657653390715756, -0.16829829811323557)","(0.11845354720605372, -0.25073528767750775)","(0.21797030396555084, -0.3851482184701822)","(0.6202541392285275, -0.8410462830964487)",0.012108700000680983
7.2960101250000005,"(0.0, 0.0)","(0.00011015889470546505, -0.002189395170902242)","(0.0009401811702879834, -0.009247044678164694)","(0.003410090260907467, -0.022061502241696236)","(0.008768777512798143, -0.04182947846299896)","(0.018811447014826843, -0.0702758334449869)","(0.0363229481755756, -0.11010268989450378)","(0.06610557681598106, -0.1660327553225684)","(0.1178748643180737, -0.24775904939938603)","(0.217824166777083, -0.38180250555455875)","(0.6302717046775252, -0.8455023415189794)",0.011460599984275177
7.68001,"(0.0, 0.0)","(0.00010885627313312815, -0.002153540789907343)","(0.0009293443600611392, -0.009097790637569967)","(0.003372037574524242, -0.021711471586288535)","(0.00867501142049544, -0.04117984543526955)","(0.01862180244925188, -0.06921482905822034)","(0.03598736066800903, -0.10850581087019207)","(0.06557666279359414, -0.16377129834887605)","(0.11716910170573103, -0.24474883023421526)","(0.21738137443501393, -0.3783089031363888)","(0.639547441348258, -0.8495884843744788)",0.0163819000008516
8.064009875,"(0.0, 0.0)","(0.00010752893239747083, -0.0021186535495658822)","(0.0009182607195721768, -0.008952327850825887)","(0.003332932578264669, -0.021369686893628875)","(0.008578039633157189, -0.04054404113006091)","(0.018423915471743435, -0.06817326589051244)","(0.03563238360486373, -0.10693156611568531)","(0.06500376745032699, -0.1615274653471814)","(0.11636248346634853, -0.24172787394078749)","(0.21669021628996826, -0.37470636701508664)","(0.6481670725608231, -0.8533542828681663)",0.01670069998363033
8.44800975,"(0.0, 0.0)","(0.00010619060436401623, -0.0020847813860256333)","(0.0009070519173996414, -0.008810898888608528)","(0.0032932355306120875, -0.021036832626272733)","(0.00847910354756462, -0.039923592885371534)","(0.018220598601640103, -0.06715416778096324)","(0.035263797194654306, -0.1053855733464185)","(0.06439817078547816, -0.15931139258417942)","(0.1154765853950746, -0.23871434569345223)","(0.21579157178327307, -0.37102692040042606)","(0.6562033001669104, -0.8568404641502186)",0.012683100008871406
8.832009625,"(0.0, 0.0)","(0.00010485181714012942, -0.0020519468907548217)","(0.0008958117423659567, -0.008673633545751997)","(0.0032533034363147195, -0.02071330984591928)","(0.008379173109660895, -0.039319461632472165)","(0.01801406870025915, -0.06615955429475892)","(0.03488620738102216, -0.10387178949736559)","(0.06376898972268044, -0.15713058714637185)","(0.11452919468130507, -0.2357224013308157)","(0.21472016913854014, -0.3672969849154568)","(0.6637182011223552, -0.8600808232908779)",0.010431000002427027
9.2160095,"(0.0, 0.0)","(0.00010352061189567927, -0.0020201543909032565)","(0.0008846122706600568, -0.008540579565598528)","(0.0032134125696627047, -0.02039931137616494)","(0.008279004994447725, -0.0387321876561462)","(0.017806071740222112, -0.06519069013115238)","(0.03450328423348478, -0.10239290526335124)","(0.06312359788155897, -0.15499051573274378)","(0.11353499598022124, -0.2327630127510669)","(0.21350559445551992, -0.36353841038989754)","(0.6707651141603306, -0.8631036597591017)",0.015694999980041757
9.600009375,"(0.0, 0.0)","(0.00010220309186895205, -0.0019893951427480947)","(0.0008735086032573211, -0.008411725291176519)","(0.0031737758392531984, -0.020094877525914046)","(0.008179187664941176, -0.038161999351848365)","(0.01759798000000215, -0.06424827264790477)","(0.03411794907981969, -0.1009506445840291)","(0.06246795849570361, -0.15289505705148748)","(0.1125061227881656, -0.22984461156164146)","(0.21217310905239822, -0.35976928332799235)","(0.677390138447714, -0.8659328704998449)",0.017174000007798895
9.98400925,"(0.0, 0.0)","(0.00010090384538291239, -0.0019596511589702994)","(0.0008625425267209733, -0.008287016448089114)","(0.0031345562538419858, -0.019799937620099087)","(0.008080176468525505, -0.03760889482850446)","(0.01739086819979116, -0.06333257369527721)","(0.033732522203246684, -0.09954599342579595)","(0.06180688989782809, -0.150846851882723)","(0.1114526033083102, -0.2269735953702038)","(0.2107443176682841, -0.3560045700159295)","(0.6836333334211717, -0.868588790906557)",0.02410140002029948
10.368009125,"(0.0, 0.0)","(9.9626273612749e-05, -0.0019308980389806042)","(0.000851745357707788, -0.008166368627844728)","(0.0030958774215455176, -0.019514341084977682)","(0.007982321119288274, -0.03707270342192992)","(0.017185573452138947, -0.06244354743423428)","(0.03334884000841859, -0.09817937551674663)","(0.061144278306162675, -0.148847575633081)","(0.11038272302133778, -0.22415472907022382)","(0.20923771946329017, -0.35225663431151716)","(0.6895296874159929, -0.8710888493438076)",0.018295499990927055
10.752009000000001,"(0.0, 0.0)","(9.837284582085021e-05, -0.0019031070660275986)","(0.0008411401641221505, -0.00804967659601326)","(0.003057831775849354, -0.01923788078409117)","(0.007885887321026366, -0.03655313222417988)","(0.01698274268833258, -0.06158091261813496)","(0.03296834838956916, -0.09685078793292863)","(0.06048324913605768, -0.1468981516226579)","(0.10930332094506326, -0.22139146491391468)","(0.20766916578515032, -0.34853565891999844)","(0.6951099048880939, -0.8734480812046407)",0.010256700013997033
