Epoch,MSEvalidation,MSEtraining
0,0.1404731124639511,0.13742631673812866
1,0.024963170289993286,0.020866138860583305
2,0.01698947139084339,0.012379894033074379
3,0.01284359022974968,0.008711949922144413
4,0.015251832082867622,0.011402260512113571
5,0.012859324924647808,0.009025421924889088
6,0.012592530809342861,0.008792744018137455
7,0.009871588088572025,0.005521957762539387
8,0.01238754577934742,0.00827560294419527
9,0.01572386734187603,0.012132729403674603
10,0.012526332400739193,0.00907132588326931
11,0.017437148839235306,0.013267278671264648
12,0.036703478544950485,0.030298834666609764
13,0.029192086309194565,0.024218998849391937
14,0.030795684084296227,0.025735165923833847
15,0.02055061049759388,0.015368025749921799
16,0.03150766342878342,0.02559974230825901
17,0.05777439847588539,0.05393407866358757
18,0.0265433918684721,0.021858520805835724
19,0.02139098010957241,0.015810957178473473
20,0.00956414733082056,0.006332761142402887
21,0.022138874977827072,0.01736505888402462
22,0.05340179428458214,0.04759392887353897
23,0.023933783173561096,0.019803520292043686
24,0.019142823293805122,0.015692146494984627
25,0.03442968800663948,0.030865617096424103
26,0.03360799327492714,0.027536461129784584
27,0.013587855733931065,0.00996073056012392
28,0.015311394818127155,0.01144987903535366
29,0.044473420828580856,0.038958922028541565
30,0.052804168313741684,0.048687856644392014
31,0.2699832618236542,0.26451072096824646
32,0.07457276433706284,0.07103541493415833
33,0.046019215136766434,0.04002375900745392
34,0.026908807456493378,0.02327190525829792
35,0.03477925807237625,0.03000004217028618
36,0.04597919061779976,0.04021580144762993
37,0.05102444067597389,0.04458783194422722
38,0.08350581675767899,0.082074373960495
39,0.07755978405475616,0.07019206881523132
40,0.12443544715642929,0.11996526271104813
41,0.03548985347151756,0.029776548966765404
42,0.06440436840057373,0.05763954296708107
43,0.041483502835035324,0.039518680423498154
44,0.08156692236661911,0.07498718798160553
45,0.02558303251862526,0.02153301052749157
46,0.030811211094260216,0.027325697243213654
47,0.02559615857899189,0.02162756212055683
48,0.019249044358730316,0.014887618832290173
49,0.021589508280158043,0.0185591671615839
50,0.01944657787680626,0.01642993651330471
51,0.020390093326568604,0.01756788231432438
52,0.03144121542572975,0.02677561342716217
53,0.05364270135760307,0.05140748992562294
54,0.06465046852827072,0.060817863792181015
55,0.04729842767119408,0.04164905846118927
56,0.08754201233386993,0.08181937783956528
57,0.02393072284758091,0.018843967467546463
58,0.07894536107778549,0.07527336478233337
59,0.09003575891256332,0.08145900070667267
60,0.05377544090151787,0.04809814691543579
61,0.05693153664469719,0.04584745690226555
62,0.041013043373823166,0.03748003765940666
63,0.05650842562317848,0.05192876234650612
64,0.08719789981842041,0.07944507151842117
65,0.17425553500652313,0.16793373227119446
66,0.1514003574848175,0.14303721487522125
67,0.09316590428352356,0.08691268414258957
68,0.016940880566835403,0.014089894481003284
69,0.0322147011756897,0.0255791824311018
70,0.0920405164361,0.08393699675798416
71,0.19060659408569336,0.1801745891571045
72,0.2551291584968567,0.2535514235496521
73,0.34280475974082947,0.3441106677055359
74,0.05132183060050011,0.05219356343150139
75,0.03326172009110451,0.02852984331548214
76,0.05413626879453659,0.048284366726875305
77,0.038293976336717606,0.033433444797992706
78,0.056338053196668625,0.05034267157316208
79,0.052266426384449005,0.03850546106696129
80,0.03595538064837456,0.03294553607702255
81,0.048853375017642975,0.04416624456644058
82,0.03958427160978317,0.03716465085744858
83,0.03355100750923157,0.029905268922448158
84,0.0435369499027729,0.04358825832605362
85,0.037816211581230164,0.03276190534234047
86,0.05076572671532631,0.0481429398059845
87,0.05161653831601143,0.04515768215060234
88,0.05039301514625549,0.04298761114478111
89,0.03503638878464699,0.030187247321009636
90,0.03027242049574852,0.024831894785165787
91,0.026791220530867577,0.02613256126642227
92,0.035811617970466614,0.029902838170528412
93,0.033269867300987244,0.02875053510069847
94,0.038892000913619995,0.033657874912023544
95,0.03559539094567299,0.029870616272091866
96,0.039217766374349594,0.033464882522821426
97,0.03359837830066681,0.023926621302962303
98,0.016161246225237846,0.01047858502715826
99,0.04626382887363434,0.0366792194545269
100,0.041336145251989365,0.029585756361484528
101,0.014034194871783257,0.009966212324798107
102,0.055356863886117935,0.05473225191235542
103,0.029774390161037445,0.028334500268101692
104,0.0186302550137043,0.01644747331738472
105,0.0223963912576437,0.019924331456422806
106,0.02980010397732258,0.02919742465019226
