F,E,base,height,length,coord0,coord1,coord2,coord3,coord4,coord5,coord6,coord7,coord8,coord9,coord10,time
10.0,100000000000.0,0.005,0.005,0.1,"(0.0, 0.0)","(7.985968978121982e-10, -2.4847180323890133e-06)","(6.668640554693961e-09, -1.0322822646611217e-05)","(2.3600266046974738e-08, -2.4217208156580042e-05)","(5.899815113188933e-08, -4.510788378218974e-05)","(1.2244152165427624e-07, -7.431150024330495e-05)","(2.2713026447823692e-07, -0.00011379229932404522)","(3.930167184890143e-07, -0.00016676082620239877)","(6.550745489317111e-07, -0.00023928671842664658)","(1.0945752470375991e-06, -0.0003465262232421046)","(2.4574275129252143e-06, -0.0006399730387419934)",0.0076003000140190125
10.0,100000000000.0,0.005,0.005,0.48,"(0.0, 0.0)","(1.956486662544471e-06, -0.0002688309597891747)","(1.634243427574289e-05, -0.0011170970608386965)","(5.7853248836392535e-05, -0.002621141257597289)","(0.00014467124998683578, -0.004882879752036525)","(0.0003003361060523735, -0.0080448823361288)","(0.0005573032172162262, -0.012319662971428441)","(0.0009646487494848477, -0.018054413685237043)","(0.0016084103438115949, -0.025905408081976066)","(0.0026885145425112333, -0.03751151925716209)","(0.006039378350022773, -0.06925891502948633)",0.005375400010962039
10.0,100000000000.0,0.005,0.005,0.86,"(0.0, 0.0)","(2.699651906529904e-05, -0.001313496649191231)","(0.00022600500556295422, -0.005466691803005203)","(0.0008019084742245386, -0.012844208048642256)","(0.002010043613863838, -0.02395383863423285)","(0.004183060840614622, -0.039500183771739666)","(0.007781945060850504, -0.060527815639540135)","(0.013506313989835594, -0.08873794249138056)","(0.022585137852725423, -0.1273421465039792)","(0.03787459462240517, -0.18436137092838556)","(0.08551847550442815, -0.3400984304567341)",0.005796099983854219
10.0,100000000000.0,0.005,0.005,1.2400000000000002,"(0.0, 0.0)","(9.150387407745597e-05, -0.0027909432709402517)","(0.0007695886176372901, -0.01165500312237228)","(0.0027441498902465444, -0.027469831898842632)","(0.0069150260102721905, -0.05137995032602797)","(0.014473992308203287, -0.08495978589934935)","(0.027098126466883976, -0.13053058099645704)","(0.04736627627508472, -0.19186078114659794)","(0.07985121132425121, -0.2760520167350763)","(0.1352198638275911, -0.4008164850305792)","(0.3104796960565437, -0.7430199310594504)",0.005903899989789352
10.0,100000000000.0,0.005,0.005,1.62,"(0.0, 0.0)","(0.00016705542667519446, -0.004087325672071393)","(0.0014122642177829825, -0.017135221841714995)","(0.005064820384575619, -0.040545499955452265)","(0.012846418776441826, -0.07614747737058127)","(0.027091749593314673, -0.1264670820593508)","(0.05116947308535397, -0.19525044594175173)","(0.09039133338061434, -0.28861947868194854)","(0.15439025777851534, -0.4181713663347889)","(0.2659753880774992, -0.6128607385284829)","(0.6312299737807507, -1.1586038340081095)",0.005743099987739697
10.0,100000000000.0,0.005,0.008,0.1,"(0.0, 0.0)","(4.7603490593850495e-11, -6.066448756735555e-07)","(3.9751022959388926e-10, -2.520320217998128e-06)","(1.4067847615983897e-09, -5.912636750076278e-06)","(3.516810093140421e-09, -1.1013097241638711e-05)","(7.298590346677125e-09, -1.814316205220987e-05)","(1.3538951355862583e-08, -2.7782401685876906e-05)","(2.3427221933214337e-08, -4.071467284252903e-05)","(3.90481288553568e-08, -5.842188191062584e-05)","(6.524614203085033e-08, -8.460443705623481e-05)","(1.464838599168905e-07, -0.00015624960763466517)",0.00439889999688603
10.0,100000000000.0,0.005,0.008,0.48,"(0.0, 0.0)","(1.210044654545439e-07, -6.700016548981719e-05)","(1.0104592521806288e-06, -0.0002783572724380085)","(3.5760713325699856e-06, -0.0006530290985490772)","(8.939959064771519e-06, -0.0012163659468403102)","(1.8553839702922792e-05, -0.002003872712703018)","(3.4418202119385066e-05, -0.0030685146074020107)","(5.955695651421733e-05, -0.004496860651678993)","(9.927064303238975e-05, -0.006452570812628643)","(0.00016587658033684338, -0.009344315720642642)","(nan, -0.017257022490925963)",0.004927700007101521
10.0,100000000000.0,0.005,0.008,0.86,"(0.0, 0.0)","(2.1853704273294694e-06, -0.0003806363333609353)","(1.825220841787656e-05, -0.0015815666406974154)","(6.460652612289008e-05, -0.0037107250888413447)","(0.00016154003398760608, -0.006912297221263668)","(0.0003353157320650224, -0.011388079958639115)","(0.0006221358819040734, -0.017438966143993363)","(0.0010767344647347188, -0.025556622016378802)","(0.0017950619035803639, -0.036670467520092676)","(0.003000081831957213, -0.053101427958796785)","(0.006737804435195338, -0.09805257803887446)",0.006191899999976158
10.0,100000000000.0,0.005,0.008,1.2400000000000002,"(0.0, 0.0)","(1.2626565475570839e-05, -0.001093763759277461)","(0.00010551807081959907, -0.004546485413308748)","(0.0003737167531071284, -0.010670677279951527)","(0.0009349866086281189, -0.019882450243674764)","(0.0019419747088771366, -0.032762798255236335)","(0.0036053405822318862, -0.050176664092632196)","(0.006243824830967526, -0.07353614418919846)","(0.010416392725696166, -0.10550975013918673)","(0.017421877038670708, -0.15276195484123)","(0.039172296017990105, -0.2819541003814797)",0.0062639999960083514
10.0,100000000000.0,0.005,0.008,1.62,"(0.0, 0.0)","(4.0934080951474106e-05, -0.0022294094736246117)","(0.00034250070188868165, -0.009275107776548615)","(0.0012145789393051554, -0.021784932265277578)","(0.003042661543862679, -0.04061619342005709)","(0.006328154200090974, -0.06696053194702324)","(0.011764954065923705, -0.10258662950354597)","(0.020405073269892826, -0.1503769899169368)","(0.0340953822510055, -0.215774979003538)","(0.057127626758507244, -0.3123759740909858)","(0.12881083248174585, -0.576268800710968)",0.005597899988060817
