Epoch,MSEvalidation,MSEtraining
0,0.04734232649207115,0.05628982186317444
1,0.034906528890132904,0.03964492306113243
2,0.024494752287864685,0.026827948167920113
3,0.013978969305753708,0.01573782041668892
4,0.005604282487183809,0.007458347361534834
5,0.002084656385704875,0.004027998074889183
6,0.0011353889713063836,0.003124355338513851
7,0.0009041537414304912,0.0029178601689636707
8,0.0008643976179882884,0.0028924024663865566
9,0.0008979513077065349,0.0029365618247538805
10,0.0009729479788802564,0.0030226903036236763
11,0.0010762895690277219,0.0031400946900248528
12,0.0011987524339929223,0.0032808773685246706
13,0.0013304082676768303,0.0034357907716184855
14,0.0014590434730052948,0.003592832013964653
15,0.0015703607350587845,0.003737518796697259
16,0.0016498772893100977,0.0038548125885427
17,0.001685938099399209,0.00393218407407403
18,0.001672924030572176,0.003962875343859196
19,0.0016130998264998198,0.003947853110730648
20,0.001516215386800468,0.003895564703270793
21,0.0013970255386084318,0.003819648874923587
22,0.0012716968776658177,0.003735570004209876
23,0.00115475885104388,0.0036577119026333094
24,0.0010573461186140776,0.003597640199586749
25,0.0009866916807368398,0.0035634739324450493
26,0.0009463998721912503,0.0035598669201135635
27,0.0009366747108288109,0.0035878843627870083
28,0.0009542007464915514,0.0036445693112909794
29,0.0009922798490151763,0.003722995053976774
30,0.0010423464700579643,0.00381399504840374
31,0.0010969021823257208,0.003909473307430744
32,0.0011517128441482782,0.004004864953458309
33,0.0012058948632329702,0.004099227488040924
34,0.0012605047086253762,0.004193668719381094
35,0.0013169909361749887,0.004289637319743633
36,0.0013762320159003139,0.0043878573924303055
37,0.001438107225112617,0.004487885627895594
38,0.0015014464734122157,0.0045881071127951145
39,0.001564169186167419,0.0046859681606292725
40,0.0016235526418313384,0.004778331145644188
41,0.0016766467597335577,0.004861981142312288
42,0.0017210569931194186,0.0049344878643751144
43,0.0017558563267812133,0.004995157476514578
44,0.0017822601366788149,0.00504571245983243
45,0.0018034944077953696,0.005090098828077316
46,0.0018237574258819222,0.005133343860507011
47,0.0018467805348336697,0.005179994273930788
48,0.001874491455964744,0.0052326456643640995
49,0.0019063240615651011,0.0052911085076630116
50,0.001939578796736896,0.005352633073925972
51,0.0019708536565303802,0.005413291044533253
52,0.0019978024065494537,0.005469886586070061
53,0.002020191168412566,0.0055213007144629955
54,0.0020397582557052374,0.005568614229559898
55,0.0020592166110873222,0.005614192225039005
56,0.0020810787100344896,0.0056604440324008465
57,0.0021069336216896772,0.0057089426554739475
58,0.0021372295450419188,0.005760100670158863
59,0.0021715874318033457,0.005813453812152147
60,0.002209208207204938,0.00586811825633049
61,0.0022491461131721735,0.005923136603087187
62,0.0022902607452124357,0.005977465771138668
63,0.0023309942334890366,0.00602973997592926
64,0.0023691251408308744,0.006077949423342943
65,0.0024016965180635452,0.006119279190897942
66,0.0024253064766526222,0.0061503262259066105
67,0.002436710288748145,0.006167683284729719
68,0.0024334697518497705,0.006168640684336424
69,0.00241451314650476,0.006151839159429073
70,0.0023802858777344227,0.006117504555732012
71,0.0023325772490352392,0.006067341193556786
72,0.002274009631946683,0.006004029884934425
73,0.0022075483575463295,0.005930712446570396
74,0.0021360134705901146,0.00585044315084815
75,0.002061801264062524,0.005765863228589296
76,0.0019867802038788795,0.005679059773683548
77,0.0019123285310342908,0.005591598805040121
78,0.001839380944147706,0.005504549015313387
79,0.001768528949469328,0.005418614950031042
80,0.0017000377411022782,0.005334141664206982
81,0.0016339492285624146,0.005251237656921148
82,0.0015700506046414375,0.005169748794287443
83,0.0015079525765031576,0.005089353770017624
84,0.0014471679460257292,0.005009674467146397
85,0.0013871747069060802,0.004930345807224512
86,0.00132753886282444,0.004851148929446936
87,0.0012680134968832135,0.004772089887410402
88,0.001208593719638884,0.004693414084613323
89,0.001149561139754951,0.004615609534084797
90,0.0010914911981672049,0.00453937379643321
91,0.0010352302342653275,0.004465601406991482
92,0.0009818740654736757,0.004395383410155773
93,0.0009326755534857512,0.004329962190240622
94,0.0008888835436664522,0.004270583391189575
95,0.0008514528162777424,0.0042182100005447865
96,0.0008207180071622133,0.004173153545707464
97,0.0007961746887303889,0.0041348254308104515
98,0.0007764968322589993,0.004101725295186043
99,0.0007597972289659083,0.004071730654686689
100,0.0007440822664648294,0.004042601678520441
101,0.0007276433752849698,0.00401241984218359
102,0.0007093144813552499,0.003979893401265144
103,0.0006885300390422344,0.003944416996091604
104,0.0006652781739830971,0.003906016470864415
105,0.000639954290818423,0.0038651819340884686
106,0.0006132033886387944,0.0038226821925491095
107,0.0005857831565663218,0.0037794183008372784
108,0.0005584538448601961,0.003736307378858328
109,0.0005318748881109059,0.0036941561847925186
110,0.0005065762088634074,0.003653652034699917
111,0.00048291077837347984,0.0036152973771095276
112,0.0004610889300238341,0.003579447977244854
113,0.00044116919161751866,0.0035462924279272556
114,0.0004230968770571053,0.0035158912651240826
115,0.00040672888280823827,0.003488197224214673
116,0.0003918474249076098,0.003463075030595064
117,0.00037817429983988404,0.0034403232857584953
118,0.00036536637344397604,0.0034196837805211544
119,0.00035301377647556365,0.0034008449874818325
120,0.0003406367904972285,0.0033834553323686123
121,0.000327688263496384,0.0033671366982162
122,0.00031356478575617075,0.003351489081978798
123,0.0002977199328597635,0.003336183028295636
124,0.0002798867935780436,0.0033211030531674623
125,0.0002604698820505291,0.0033065907191485167
126,0.00024090446822810918,0.003293640911579132
127,0.00022349267965182662,0.003283753525465727
128,0.00021040816500317305,0.00327831762842834
129,0.00020255766867194325,0.003277889918535948
130,0.00019932992290705442,0.0032818405888974667
131,0.00019925858941860497,0.003288594074547291
132,0.00020080561807844788,0.003296297276392579
133,0.00020284202764742076,0.0033034428488463163
134,0.00020471180323511362,0.003309047780930996
135,0.00020609033526852727,0.003312529530376196
136,0.0002068321919068694,0.003313535824418068
137,0.00020688277436420321,0.003311845241114497
138,0.00020624513854272664,0.0033073769882321358
139,0.0002049604954663664,0.0033001841511577368
140,0.0002030982868745923,0.003290477441623807
141,0.0002007309958571568,0.0032786107622087
142,0.00019794717081822455,0.0032651007641106844
143,0.00019489650730974972,0.0032506429124623537
144,0.00019185792189091444,0.0032361645717173815
145,0.0001893571316031739,0.003222876926884055
146,0.0001882427022792399,0.003212292678654194
147,0.00018975415150634944,0.003206223715096712
148,0.00019547500414773822,0.0032066849526017904
149,0.0002072405768558383,0.0032157707028090954
150,0.00022704462753608823,0.0032355813309550285
151,0.0002570460201241076,0.0032682716846466064
152,0.00029980437830090523,0.003316369839012623
153,0.00035881830262951553,0.0033834287896752357
154,0.00043943748460151255,0.003475072793662548
155,0.0005502982530742884,0.0036006667651236057
156,0.0007055485039018095,0.0037758518010377884
157,0.0009280443773604929,0.00402613403275609
158,0.001253777532838285,0.004391176160424948
159,0.001734683639369905,0.004925711080431938
160,0.0023910633753985167,0.0056510623544454575
161,0.0029496834613382816,0.006306312512606382
162,0.002802728908136487,0.006301073357462883
163,0.002107083797454834,0.005753478966653347
164,0.0014313909923657775,0.005170121323317289
165,0.0009218579507432878,0.004685155116021633
166,0.0005652546533383429,0.004315175116062164
167,0.00036124649341218174,0.004099973477423191
168,0.00029363352223299444,0.004035014659166336
169,0.0002716832677833736,0.004027455113828182
170,0.0002534989616833627,0.004029335454106331
171,0.00022690313926432282,0.004009186755865812
172,0.00019944498490076512,0.003970793914049864
173,0.00017872256285045296,0.003919790964573622
174,0.0001701176806818694,0.00386114907450974
175,0.0002131861838279292,0.0038344424683600664
176,0.00037197917117737234,0.0039147608913481236
177,0.00045065037556923926,0.003955951891839504
178,0.0004890934797003865,0.004011312033981085
179,0.0006145630031824112,0.004142251331359148
180,0.0006484840996563435,0.00420548627153039
181,0.0007102647796273232,0.004342630505561829
182,0.0007735471590422094,0.004517069552093744
183,0.000755057146307081,0.004587471950799227
184,0.0006319561507552862,0.004489102866500616
185,0.00048356837942264974,0.004302596673369408
186,0.00038455965113826096,0.004147915169596672
187,0.0003615034220274538,0.004090971779078245
188,0.00039841909892857075,0.004113120958209038
189,0.00039982644375413656,0.004115528427064419
190,0.00025439896853640676,0.004019687883555889
191,0.0002656292635947466,0.004051354713737965
192,0.0002663387276697904,0.004030222073197365
193,0.00019416467694099993,0.004000140354037285
194,0.0002027802256634459,0.003973743412643671
195,0.0001702209992799908,0.003942135721445084
196,0.00016717883409000933,0.0038982632104307413
197,0.0001673661172389984,0.0038874750025570393
198,0.0001721334847388789,0.0038742143660783768
199,0.00019388497457839549,0.0039079077541828156
